USAF,WBAN,Station_ID,Station_Name,ICAO,Latitude,Longitude,Elevation(m),Begin,End
488020,99999,48802099999,SA PA,,22.35,103.817,1581,19590502,20250603
488030,99999,48803099999,LAO CAI,,22.5,103.967,97,19490502,20250603
488060,99999,48806099999,SON LA,,21.333,103.9,676,19970301,20250603
488080,99999,48808099999,CAO BANG,,22.667,106.25,243,19490502,20250603
488100,99999,48810099999,BAC CAN,,22.15,105.833,176,19590501,20250603
488190,99999,48819099999,HANOI (CITY),VVVV,21.033,105.833,10,19490401,19840815
488193,99999,48819399999,HANOI/GIALAM,VVGL,21.033,105.85,12,19840909,19890705
488200,99999,48820099999,NOIBAI INTL,VVNB,21.221,105.807,11.9,19581201,20250603
488230,99999,48823099999,NAM DINH,,20.433,106.15,3,19740924,20250603
488250,99999,48825099999,HA DONG,,20.967,105.767,7.9,19800808,20250603
488251,99999,48825199999,CAT BI INTL ARPT/HAI PHONG,VVCI,20.819,106.725,1.8,20170531,20250603
488260,99999,48826099999,PHU LIEN,,20.8,106.633,116,19740924,20250603
488300,99999,48830099999,LANG SON,,21.833,106.767,263,19740924,20250603
488310,99999,48831099999,THAI NGUYEN,,21.6,105.833,32,19740924,20250603
488380,99999,48838099999,MONG CAI,,21.517,107.967,7,19740924,20250603
488390,99999,48839099999,BACH LONG VI,,20.133,107.717,56,19740925,20250603
488400,99999,48840099999,THANH HOA,,19.75,105.783,5,19740924,20250603
488430,99999,48843099999,MUONG SEN,,19.4,104.15,220,19800710,19820302
488450,99999,48845099999,VINH,VVVH,18.737,105.671,5.2,19740924,20250603
488460,99999,48846099999,HA TINH,,18.35,105.9,3,19740924,20250603
488480,99999,48848099999,DONG HOI,,17.483,106.6,8,19740924,20250603
488490,99999,48849099999,DONG HA,,16.817,107.1,25,19660101,19850722
488500,99999,48850099999,KHE SANH,,16.633,106.717,420,19800702,19820420
488505,99999,48850599999,KHE SANH,,16.633,106.717,420,19670731,19710328
488510,99999,48851099999,QUANG TRI,,16.733,107.183,6,19580813,19900617
488515,99999,48851599999,CAMP EVANS,,16.55,107.383,30,19680201,19711218
488520,99999,48852099999,PHUBAI,VVPB,16.402,107.703,14.6,19570101,20250603
488525,99999,48852599999,L.Z. SALLY,,16.517,107.467,-999,19680402,19700310
488526,99999,48852699999,CAMP EAGLE,,16.4,107.633,38,19680331,19720110
488550,99999,48855099999,DANANG INTL,VVDN,16.044,108.199,10.1,19561231,20250603
488556,99999,48855699999,AN HOA,,15.783,108.083,23,19670731,19700909
488561,41024,48856141024,MARBLE MOUNTAIN,,16.033,108.25,9.1,19680101,19900124
488580,99999,48858099999,PLEIKU AB/CU-HANH,VVPK,14,108.017,742,19730101,19801218
488600,99999,48860099999,HOANG SA (PATTLE),,16.55,111.617,6,19561231,19740811
488630,99999,48863099999,QUANG NGAI,,15.133,108.783,9,19571231,20250603
488635,99999,48863599999,DUC PHO,,14.817,108.967,11,19671130,19710617
488640,99999,48864099999,CHU LAI,,15.417,108.7,8,19650531,19711127
488660,99999,48866099999,PLEIKU,VVPK,14.005,108.017,741.9,19580908,20250603
488665,99999,48866599999,CAMP ENARI,,13.85,108.05,835,19660930,19700228
488671,99999,48867199999,AN KHE,,13.967,108.667,421,19651130,19701212
488675,99999,48867599999,CAMP RADCLIFF/ANKHE,,13.983,108.65,771,19700312,19701116
488676,99999,48867699999,PHU CAT,,13.95,109.05,34,19661231,19750331
488685,99999,48868599999,L.Z. ENGLISH,,14.467,109.033,30,19680303,19710812
488695,99999,48869599999,KONTUM,,14.35,108.017,595,19680402,19700331
488700,99999,48870099999,QUY NHON,VVQN,13.767,109.217,6,19570104,20250603
488730,99999,48873099999,TUY-HOA,,13.083,109.283,11,19561231,20131115
488750,99999,48875099999,BANMETHUOT,,12.683,108.083,537,19561231,20250603
488770,99999,48877099999,NHA TRANG,VVNT,12.25,109.2,10,19561231,20250603
488810,99999,48881099999,BECAME STN 488811,,11.75,108.383,962,19490304,19750331
488811,99999,48881199999,DA LAT/LIEN KHUONG,VVDL,11.753,108.362,962,20100319,20100319
488815,99999,48881599999,DALAT/CAM LY,,11.95,108.417,1517,19661003,19710315
488830,99999,48883099999,DI LINH,,11.567,108.067,972,19491213,19610521
488840,99999,48884099999,BAO-LOC (BLAO),,11.467,107.8,850,19610526,19790809
488870,99999,48887099999,PHAN THIET,,10.933,108.1,5,19561008,20250603
488880,99999,48888099999,PHUOC LONG/SONG BE,,11.817,106.967,243,19800702,19900726
488885,99999,48888599999,PHUOC LONG/SONG BE,,11.817,106.967,243,19680115,19710214
488890,99999,48889099999,PHAN RANG,,11.633,108.95,31,20080530,20130409
488896,99999,48889699999,PHAN RANG,,11.633,108.95,31,19660103,19750402
488910,99999,48891099999,DAU TIENG,,11.267,106.317,16,19660731,19700320
488915,99999,48891599999,TAY NINH WEST,,11.317,106.067,8,19661130,19700807
488920,99999,48892099999,SONG TU TAY (SOUTH WEST CAY),,11.417,114.333,5,19921201,20250603
488925,99999,48892599999,PHU LOI,,11,106.7,34,19660419,19711231
488926,99999,48892699999,PHUOC-VINH,,11.3,106.8,58,19660731,19731216
488935,99999,48893599999,CU CHI,,10.983,106.517,12,19660331,19701124
488940,99999,48894099999,NHA BE,,10.65,106.717,3.6,20130702,20250603
488960,99999,48896099999,BIEN-HOA AB,,10.967,106.817,13.4,19581231,19650627
488962,99999,48896299999,SAIGON/BIEN/HOA,,10.967,106.817,11,19581231,19750428
488966,99999,48896699999,GIA RAY,,10.967,107.4,142,19701001,19710314
488970,99999,48897099999,CAM RANH BAY,,12,109.217,14,19651103,19711231
489000,99999,48900099999,TANSONNHAT INTL,VVTS,10.819,106.652,10.1,19490102,20250603
489003,99999,48900399999,HO CHI MINH/TANSONN,,10.817,106.667,9,19780527,19830209
489005,99999,48900599999,DIAN,,10.9,106.75,32,19661007,19710306
489006,99999,48900699999,QUAN LOI,,11.667,106.667,167,19680131,19700909
489015,99999,48901599999,LONG THANH (NORTH),,10.833,106.967,41,19660731,19711231
489020,99999,48902099999,BARIA (PHUOC LE),,10.5,107.167,15,19550814,19561031
489030,99999,48903099999,VUNGTAU/PHARE,,10.333,107.083,175,19490502,19790217
489040,99999,48904099999,VUNG TAU,,10.367,107.067,4,19630301,20100520
489041,99999,48904199999,VUNGTAU,VVVT,10.367,107.1,4,19621129,19700811
489070,99999,48907099999,RACH GIA,,10,105.083,3,19560117,20250603
489100,99999,48910099999,VINH LONG,,10.25,105.95,3,19630515,19971227
489105,99999,48910599999,TAN AN,,10.55,106.4,3,19670630,19700907
489110,99999,48911099999,CAN THO,,10.05,105.767,,19630503,19641230
489111,99999,48911199999,PHONG DINH/CAN THO,,10.05,105.767,2,19630504,19750428
489125,99999,48912599999,CAN THO,VVCT,10.083,105.717,3.1,19651213,20250603
489130,99999,48913099999,BA-XUYEN/SOC TRANG,,9.6,105.967,5,19490502,19971208
489140,99999,48914099999,CA MAU,,9.183,105.15,2,19570831,20250603
489160,99999,48916099999,THO CHU,,9.283,103.467,24,19970201,20250603
489170,99999,48917099999,PHU QUOC,,10.217,103.967,4,19570403,20250603
489180,99999,48918099999,CON SON,,8.683,106.6,9,19490103,20250603
489190,99999,48919099999,HUYEN TRAN,,8.017,110.617,19,19970201,20250603
489200,99999,48920099999,TRUONG SA,,8.65,111.917,3,19811101,20250603
749309,99999,74930999999,BLACKHORSE BASE,,10.817,107.217,250,19661231,19690906
749310,99999,74931099999,PLEI DJERENG /THREE TANGO,,13.966,107.65,290,19661220,19670320
749311,99999,74931199999,DUC CO FSB,,13.833,107.683,402,19670331,19671023
749312,99999,74931299999,EA HLEO,,13.217,108.233,610,19671112,19671210
749313,99999,74931399999,DAK TO,,14.667,107.8,602,19671101,19690116
749314,99999,74931499999,DUC AN,,15.617,108.4,35,19671201,19680229
999999,41003,99999941003,DA NANG,VVSD,16.05,108.2,7,19651130,19671231
999999,41013,99999941013,KY HA,IKYU,15.467,108.7,18,19650930,19671031
999999,41024,99999941024,MARBLE MOUNTAIN,,16.033,108.25,9.1,19660201,19671231
999999,41056,99999941056,QUANG TRI,VVQT,16.767,107.167,14,19671215,19691031
999999,41068,99999941068,VANDERGRIF,ILZV,16.683,106.833,36.9,19680714,19690930
